team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
8,8,Wed Nov 29 2023,6:00p,REG,,Radford,Big South,-16.02,W,97,47,,7,1,W 2,Bryce Jordan Center
8,9,Mon Dec 4 2023,6:00p,REG,@,West Virginia,Big 12,28.34,L,65,83,,7,2,L 1,WVU Coliseum
8,10,Sun Dec 10 2023,1:00p,REG,@,Ohio State (12),Big Ten,34.28,L,84,94,OT,7,3,L 2,Value City Arena
8,11,Sun Dec 17 2023,1:00p,REG,,Saint Francis (PA),NEC,-31.56,W,119,43,,8,3,W 1,Bryce Jordan Center
8,12,Wed Dec 20 2023,11:30a,REG,,Central Connecticut State,NEC,-20.1,W,101,73,,9,3,W 2,Bryce Jordan Center
8,13,Sat Dec 30 2023,4:00p,REG,,Michigan State,Big Ten,28.21,L,87,98,,9,4,L 1,Bryce Jordan Center
8,14,Tue Jan 2 2024,6:00p,REG,,Northwestern,Big Ten,-0.22,W,95,55,,10,4,W 1,Bryce Jordan Center
8,15,Wed Jan 10 2024,7:00p,REG,@,Indiana (14),Big Ten,30.25,L,67,75,,10,5,L 1,Simon Skjodt Assembly Hall
8,16,Sun Jan 14 2024,2:00p,REG,@,Rutgers,Big Ten,3.79,W,94,80,,11,5,W 1,Jersey Mike's Arena
8,17,Thu Jan 18 2024,7:00p,REG,,Purdue,Big Ten,14.46,W,80,67,,12,5,W 2,Bryce Jordan Center
8,18,Sun Jan 21 2024,1:00p,REG,,Nebraska,Big Ten,22.52,W,82,73,,13,5,W 3,Bryce Jordan Center
8,19,Thu Jan 25 2024,8:00p,REG,@,Northwestern,Big Ten,-0.22,W,76,65,,14,5,W 4,Welsh-Ryan Arena
8,20,Sun Jan 28 2024,1:00p,REG,,Maryland,Big Ten,22.6,W,112,76,,15,5,W 5,Bryce Jordan Center
8,21,Wed Jan 31 2024,8:00p,REG,@,Minnesota,Big Ten,16.38,W,80,64,,16,5,W 6,Williams Arena
8,22,Sat Feb 3 2024,6:00p,REG,,Michigan,Big Ten,18.99,L,75,80,,16,6,L 1,Bryce Jordan Center
8,23,Thu Feb 8 2024,9:00p,REG,@,Iowa (2),Big Ten,37.03,L,93,111,,16,7,L 2,Carver-Hawkeye Arena
8,24,Sun Feb 11 2024,3:00p,REG,@,Wisconsin,Big Ten,7.62,L,64,69,,16,8,L 3,
8,25,Thu Feb 15 2024,6:00p,REG,,Illinois,Big Ten,19.38,L,71,86,,16,9,L 4,Bryce Jordan Center
8,26,Sun Feb 18 2024,1:00p,REG,@,Maryland,Big Ten,22.6,L,62,77,,16,10,L 5,Xfinity Center
8,27,Thu Feb 22 2024,6:00p,REG,,Ohio State (2),Big Ten,34.28,L,69,82,,16,11,L 6,
8,28,Wed Feb 28 2024,7:00p,REG,@,Purdue,Big Ten,14.46,W,93,88,,17,11,W 1,Mackey Arena
8,29,Sun Mar 3 2024,1:00p,REG,,Minnesota,Big Ten,16.38,W,90,34,,18,11,W 2,Bryce Jordan Center
8,30,Thu Mar 7 2024,6:30p,REG,N,Wisconsin,Big Ten,7.62,,,,,,,,Target Center
9,1,Tue Nov 7 2023,7:00p,REG,,Morehead State,OVC,-8.41,W,81,61,,1,0,W 1,State Farm Center
9,2,Sat Nov 11 2023,3:00p,REG,@,Marquette,Big East,20.04,L,67,71,,1,1,L 1,Al McGuire Center
9,3,Wed Nov 15 2023,12:00p,REG,,Saint Peter's,MAAC,-22.85,W,103,33,,2,1,W 1,State Farm Center
9,4,Sat Nov 18 2023,1:00p,REG,N,Notre Dame (16),ACC,32.47,L,68,79,,2,2,L 1,
9,5,Sun Nov 26 2023,2:00p,REG,,Canisius,MAAC,-10.77,W,90,58,,3,2,W 1,State Farm Center
9,6,Wed Nov 29 2023,7:00p,REG,,Central Connecticut State,NEC,-20.1,W,89,50,,4,2,W 2,State Farm Center
9,7,Wed Dec 6 2023,7:00p,REG,,Northern Kentucky,Horizon,-7.37,W,74,52,,5,2,W 3,State Farm Center
9,8,Sun Dec 10 2023,3:00p,REG,,Michigan,Big Ten,18.99,L,48,84,,5,3,L 1,State Farm Center
9,9,Sun Dec 17 2023,4:00p,REG,,Missouri,SEC,12.45,L,66,69,,5,4,L 2,State Farm Center
